B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              difference
 62.2               6829.1              6835.55             6829.1              6835.55             6829.1              6829.1             -6.449707 
 62.15              6842.37             6836.477            6829.1              6836.477            6829.1              6829.1              5.893066 
 62.1               6875.27             6837.489            6829.063            6837.489            6829.063            6829.063            37.78076 
 62.05              6900.87             6838.545            6828.932            6838.545            6828.932            6828.932            62.3252 
 62                 6899.05             6839.682            6828.729            6839.682            6828.729            6828.729            59.36768 
 61.95              6804.26             6840.994            6828.529            6840.994            6828.529            6828.529           -36.73389 
 61.9               6870.65             6842.763            6828.598            6842.763            6828.598            6828.598            27.88672 
 61.85              6893.32             6844.557            6828.479            6844.557            6828.479            6828.479            48.7627 
 61.8               6847.79             6846.521            6828.296            6846.521            6828.296            6828.296            1.268555 
 61.75              6956.53             6848.874            6828.24             6848.874            6828.24             6828.24             107.6558 
 61.7               6918.81             6851.208            6827.877            6851.208            6827.877            6827.877            67.60254 
 61.65              6815.09             6853.965            6827.62             6853.965            6827.62             6827.62            -38.875 
 61.6               6858.39             6857.367            6827.655            6857.367            6827.655            6827.655            1.022949 
 61.55              6829.64             6861.034            6827.568            6861.034            6827.568            6827.568           -31.39404 
 61.5               6956.13             6865.208            6827.563            6865.208            6827.563            6827.563            90.92139 
 61.45              6894.19             6869.493            6827.199            6869.493            6827.199            6827.199            24.69727 
 61.4               6959.15             6874.464            6827.009            6874.464            6827.009            6827.009            84.68555 
 61.35              6941.41             6879.814            6826.636            6879.814            6826.636            6826.636            61.5957 
 61.3               6978.91             6885.826            6826.311            6885.826            6826.311            6826.311            93.08398 
 61.25              6807.96             6892.401            6825.879            6892.401            6825.879            6825.879           -84.44141 
 61.2               6839.51             6900.189            6825.93             6900.189            6825.93             6825.93            -60.6792 
 61.15              6953.59             6908.682            6825.891            6908.682            6825.891            6825.891            44.9082 
 61.1               7071.37             6917.714            6825.53             6917.714            6825.53             6825.53             153.6563 
 61.05              6974.95             6927.346            6824.834            6927.345            6824.834            6824.834            47.60449 
 61                 6959.17             6938.26             6824.409            6938.259            6824.41             6824.409            20.91016 
 60.95              6923.6              6950.31             6824.028            6950.31             6824.029            6824.028           -26.70996 
 60.9               7071.16             6963.638            6823.746            6963.637            6823.747            6823.746            107.5225 
 60.85              7024.47             6977.817            6823.046            6977.816            6823.047            6823.046            46.65332 
 60.8               7152                6993.489            6822.476            6993.488            6822.478            6822.476            158.5107 
 60.75              7002.65             7010.262            6821.544            7010.26             6821.546            6821.544           -7.612305 
 60.7               7111.09             7029.021            6821.031            7029.019            6821.034            6821.031            82.06836 
 60.65              7149.85             7049.148            6820.21             7049.144            6820.214            6820.21             100.7021 
 60.6               7156.6              7070.952            6819.278            7070.947            6819.283            6819.278            85.64795 
 60.55              7196.92             7094.637            6818.323            7094.63             6818.331            6818.323            102.2827 
 60.5               7340.63             7120.23             6817.252            7120.22             6817.262            6817.252            220.3999 
 60.45              7364.68             7147.562            6815.771            7147.549            6815.784            6815.771            217.1182 
 60.4               7343.19             7177.098            6814.218            7177.081            6814.235            6814.218            166.0918 
 60.35              7479.48             7209.1              6812.721            7209.077            6812.745            6812.721            270.3799 
 60.3               7245.64             7243.249            6810.834            7243.218            6810.865            6810.834            2.391602 
 60.25              7343.98             7280.729            6809.604            7280.688            6809.646            6809.604            63.25146 
 60.2               7444.44             7320.736            6808.092            7320.683            6808.146            6808.092            123.7036 
 60.15              7495.41             7363.405            6806.292            7363.334            6806.363            6806.292            132.0054 
 60.1               7411.1              7409.012            6804.342            7408.92             6804.434            6804.342            2.087891 
 60.05              7564.5              7458.074            6802.625            7457.953            6802.746            6802.625            106.4263 
 60                 7584.44             7510.056            6800.469            7509.899            6800.626            6800.469            74.38379 
 59.95              7472.26             7565.471            6798.251            7565.268            6798.454            6798.251           -93.21094 
 59.9               7595.3              7624.824            6796.344            7624.562            6796.605            6796.344           -29.52393 
 59.85              7537.18             7687.585            6794.083            7687.248            6794.42             6794.083           -150.4048 
 59.8               7813.91             7754.38             6791.98             7753.948            6792.413            6791.98             59.52979 
 59.75              7772.05             7824.388            6789.089            7823.835            6789.642            6789.089           -52.33789 
 59.7               7758.65             7898.62             6786.308            7897.916            6787.012            6786.308           -139.9697 
 59.65              7829.2              7977.104            6783.556            7976.209            6784.451            6783.556           -147.9033 
 59.6               7979.13             8059.707            6780.597            8058.574            6781.729            6780.597           -80.57666 
 59.55              7961.94             8146.283            6777.206            8144.854            6778.635            6777.206           -184.3433 
 59.5               8149.85             8237.391            6773.854            8235.594            6775.651            6773.854           -87.54053 
 59.45              8237.77             8332.522            6769.96             8330.269            6772.214            6769.96            -94.75293 
 59.4               8338.35             8432.018            6765.807            8429.201            6768.624            6765.807           -93.66797 
 59.35              8410.8              8535.897            6761.357            8532.39             6764.865            6761.357           -125.0977 
 59.3               8533.51             8644.262            6756.69             8639.906            6761.046            6756.69            -110.752 
 59.25              8592.22             8756.999            6751.663            8751.609            6757.052            6751.663           -164.7793 
 59.2               8897.48             8874.301            6746.455            8867.652            6753.103            6746.455            23.17969 
 59.15              8931.92             8995.465            6740.368            8987.292            6748.542            6740.368           -63.54492 
 59.1               9076.21             9121.252            6734.167            9111.236            6744.183            6734.167           -45.04199 
 59.05              9186.66             9251.303            6727.54             9239.068            6739.774            6727.54            -64.64258 
 59                 9478.2              9385.678            6720.582            9370.782            6735.477            6720.582            92.52246 
 58.95              9721.59             9523.811            6712.779            9505.734            6730.855            6712.779            197.7793 
 58.9               9653.81             9665.766            6704.266            9643.901            6726.13             6704.266           -11.95605 
 58.85              9784.82             9812.357            6695.919            9785.996            6722.28             6695.919           -27.53711 
 58.8               10174.2             9962.91             6687.179            9931.232            6718.857            6687.179            211.29 
 58.75              10216.9             10116.6             6677.313            10078.66            6715.257            6677.313            100.2959 
 58.7               10463.1             10274.31            6667.297            10229.01            6712.599            6667.297            188.7891 
 58.65              10524               10435.33            6656.557            10381.42            6710.468            6656.557            88.66602 
 58.6               10785.7             10600.09            6645.613            10536.14            6709.561            6645.613            185.6104 
 58.55              10770.6             10767.86            6633.898            10692.25            6709.503            6633.898            2.744141 
 58.5               10952.2             10939.29            6622.194            10850.2             6711.291            6622.194            12.90625 
 58.45              11176.1             11113.71            6609.941            11009.06            6714.596            6609.941            62.38867 
 58.4               11228.3             11290.85            6597.021            11168.32            6719.55             6597.021           -62.55273 
 58.35              11485.4             11471.08            6583.917            11328.09            6726.907            6583.917            14.32422 
 58.3               11627.8             11653.64            6570.048            11487.31            6736.372            6570.048           -25.83691 
 58.25              11576.1             11838.74            6555.737            11645.9             6748.573            6555.737           -262.6357 
 58.2               11938.2             12026.78            6541.531            11803.94            6764.378            6541.531           -88.58203 
 58.15              12158.7             12216.47            6526.261            11959.78            6782.951            6526.261           -57.76855 
 58.1               12390.9             12408.08            6510.324            12113.36            6805.038            6510.324           -17.17773 
 58.05              12628               12601.4             6493.685            12264.13            6830.951            6493.685            26.60059 
 58                 12619.3             12796.3             6476.327            12411.59            6861.034            6476.327           -176.9971 
 57.95              12967               12993.32            6458.945            12555.93            6896.336            6458.945           -26.32031 
 57.9               13225.1             13191.31            6440.53             12695.63            6936.205            6440.531            33.79297 
 57.85              13477.5             13390.36            6421.333            12830.46            6981.232            6421.333            87.13672 
 57.8               13614.3             13590.3             6401.367            12959.91            7031.751            6401.368            24.00195 
 57.75              13551.8             13791.26            6380.958            13083.82            7088.39             6380.959           -239.4561 
 57.7               14166.8             13993.58            6360.667            13202.27            7151.98             6360.669            173.2158 
 57.65              14271.9             14195.13            6338.579            13312.86            7220.84             6338.582            76.77246 
 57.6               14496               14397.07            6316.131            13416.59            7296.6              6316.136            98.93262 
 57.55              14630.1             14598.72            6292.986            13512.66            7379.04             6292.993            31.38086 
 57.5               14949.8             14800               6269.396            13600.89            7468.491            6269.406            149.7998 
 57.45              15081.7             14999.98            6244.833            13680.38            7564.428            6244.848            81.7168 
 57.4               15237.5             15198.75            6219.83             13751.25            7667.307            6219.851            38.75 
 57.35              15408.3             15395.73            6194.314            13813.11            7776.912            6194.345            12.56543 
 57.3               15668.8             15590.29            6168.242            13865.56            7892.932            6168.287            78.50586 
 57.25              16015               15781.56            6141.36             13908.07            8014.785            6141.424            233.4395 
 57.2               16100.9             15968.59            6113.421            13940.13            8141.786            6113.512            132.3105 
 57.15              16210.5             16151.36            6085.162            13962.26            8274.134            6085.29             59.13867 
 57.1               16287.2             16328.99            6056.511            13974.19            8411.135            6056.691           -41.78809 
 57.05              16280.4             16500.65            6027.563            13975.85            8552.118            6027.815           -220.2539 
 57                 16465.8             16665.66            5998.551            13967.36            8696.494            5998.901           -199.8555 
 56.95              16581.8             16822.46            5968.934            13948.12            8842.793            5969.417           -240.6563 
 56.9               16637.5             16970.2             5938.904            13918.25            8990.188            5939.568           -332.7012 
 56.85              16654.7             17107.99            5908.632            13877.95            9137.767            5909.54            -453.2949 
 56.8               16945.3             17234.8             5878.225            13827.35            9284.442            5879.458           -289.5 
 56.75              17172.9             17348.74            5846.911            13765.76            9428.23             5848.577           -175.8438 
 56.7               17312.4             17448.88            5814.863            13693.46            9568.036            5817.103           -136.4785 
 56.65              17333.2             17534.34            5782.33             13610.87            9702.804            5785.323           -201.1406 
 56.6               17463.4             17604.39            5749.646            13518.5             9831.566            5753.625           -140.9941 
 56.55              17615.9             17657.7             5716.5              13416.26            9952.674            5721.759           -41.79492 
 56.5               18008.9             17693.23            5682.831            13304.37            10064.78            5689.742            315.6738 
 56.45              18031.1             17709.44            5647.954            13182.41            10165.95            5656.987            321.6602 
 56.4               17975               17706.62            5612.915            13051.77            10256.02            5624.656            268.3828 
 56.35              18013.5             17684.35            5577.935            12913.01            10334.1             5593.112            329.1523 
 56.3               18144.2             17641.86            5542.748            12766.24            10398.86            5562.256            502.3359 
 56.25              17934.3             17578.58            5507.091            12611.61            10449.12            5532.029            355.7188 
 56.2               17703.9             17495.31            5471.927            12450.51            10485.03            5503.629            208.5918 
 56.15              17667.5             17392.15            5437.317            12283.42            10505.97            5477.394            275.3516 
 56.1               17584.5             17268.79            5402.71             12110.26            10510.85            5453.094            315.7148 
 56.05              17500               17125.82            5368.242            11931.65            10499.43            5431.231            374.1758 
 56                 17078.6             16963.95            5333.914            11748.07            10471.48            5412.227            114.6543 
 55.95              16784.2             16785               5300.681            11560.96            10427.89            5397.505           -.7988281 
 55.9               16488.1             16589.76            5268.188            11370.48            10368.42            5387.235           -101.6582 
 55.85              16238.3             16379.56            5236.441            11177.11            10293.32            5382.003           -141.2568 
 55.8               16019.1             16155.84            5205.31             10981.26            10202.9             5382.304           -136.7441 
 55.75              15678               15920.27            5174.712            10783.33            10097.63            5388.731           -242.2715 
 55.7               15369.3             15675.11            5144.993            10584.17            9978.583            5402.348           -305.8115 
 55.65              15088.9             15422.36            5116.062            10384.17            9846.5              5423.813           -333.4551 
 55.6               14954               15164.12            5087.843            10183.72            9702.258            5453.824           -210.1172 
 55.55              14629               14902.33            5059.926            9982.923            9546.524            5492.736           -273.332 
 55.5               14359.5             14639.88            5032.85             9782.75             9380.979            5541.855           -280.3838 
 55.45              14044.8             14379.01            5006.459            9583.49             9206.682            5601.755           -334.208 
 55.4               13980.1             14122.2             4980.885            9385.701            9025.029            5673.241           -142.1016 
 55.35              13789.2             13871.04            4955.421            9189.069            8836.604            5756.208           -81.83887 
 55.3               13613.3             13628.1             4930.425            8994.368            8643.106            5851.48            -14.80371 
 55.25              13307.2             13395.36            4905.857            8801.91             8445.795            5959.372           -88.16211 
 55.2               13249               13175.01            4882.084            8612.41             8246.336            6080.428            73.99414 
 55.15              13084.3             12967.9             4858.41             8425.492            8045.289            6213.937            116.4014 
 55.1               12920               12775.61            4835.134            8241.744            7844.158            6359.977            144.3896 
 55.05              12669.4             12599.11            4812.258            8061.467            7644.119            6518.041            70.28906 
 55                 12558.4             12439.22            4790.025            7885.146            7446.482            6687.643            119.1797 
 54.95              12312.4             12295.75            4768.044            7712.613            7251.854            6867.369            16.65234 
 54.9               12368.7             12168.88            4746.697            7544.458            7061.524            7056.296            199.8164 
 54.85              12227.7             12057.17            4725.13             7379.993            6875.439            7251.998            170.5303 
 54.8               12103.3             11960.18            4703.901            7219.954            6694.896            7453.133            143.1201 
 54.75              11952.4             11876.49            4682.964            7064.417            6520.449            7657.549            75.91406 
 54.7               11880               11804.43            4662.395            6913.567            6352.689            7862.965            75.56836 
 54.65              11966.4             11741.74            4641.972            6767.271            6191.807            8066.607            224.6602 
 54.6               12007.8             11685.64            4621.247            6625.137            6037.66             8265.339            322.1592 
 54.55              11913.8             11633.73            4600.347            6487.355            5890.621            8456.447            280.0693 
 54.5               11699.4             11583.7             4579.653            6354.327            5751.197            8637.478            115.7051 
 54.45              11639.4             11533.11            4559.507            6226.4              5619.785            8805.94             106.2891 
 54.4               11602.2             11478.77            4539.474            6103.131            5495.932            8958.651            123.4346 
 54.35              11576.9             11417.88            4519.49             5984.422            5379.479            9092.957            159.0225 
 54.3               11335.7             11347.85            4499.52             5870.213            5270.26             9206.416           -12.14844 
 54.25              11110.7             11266.92            4480.177            5761.053            5168.682            9297.543           -156.2246 
 54.2               11079.4             11172.97            4461.415            5656.83             5074.458            9364.516           -93.57422 
 54.15              10859               11063.7             4442.689            5556.92             4986.766            9405.389           -204.6953 
 54.1               10761.3             10938.23            4424.534            5461.759            4905.827            9419.716           -176.9346 
 54.05              10502.3             10795.29            4406.604            5370.917            4830.976            9406.608           -292.9951 
 54                 10163.7             10634.79            4389.355            5284.736            4762.322            9366.446           -471.0928 
 53.95              9882.44             10456.87            4373.017            5203.33             4699.737            9299.837           -574.4307 
 53.9               9813.87             10261.72            4357.427            5126.417            4642.705            9207.452           -447.8496 
 53.85              9657.77             10049.5             4341.988            5053.269            4590.267            9089.941           -391.7305 
 53.8               9512.68             9821.663            4326.947            4984.012            4542.324            8949.221           -308.9834 
 53.75              9289.64             9579.685            4312.273            4918.479            4498.502            8787.25            -290.0449 
 53.7               9212.81             9325.621            4298.189            4856.759            4458.69             8606.551           -112.8115 
 53.65              9146.38             9061.135            4284.283            4798.301            4422.16             8409.24             85.24512 
 53.6               9102.21             8788.445            4270.526            4742.938            4388.581            8197.979            313.7646 
 53.55              8785.05             8509.923            4256.854            4690.475            4357.609            7975.546            275.127 
 53.5               8661.55             8228.771            4244.042            4641.549            4329.752            7745.553            432.7783 
 53.45              8387.52             7946.892            4231.542            4595.477            4304.218            7510.281            440.6274 
 53.4               8113.21             7667.099            4219.782            4552.555            4281.205            7272.904            446.1108 
 53.35              7942.89             7391.649            4208.766            4512.653            4260.507            7036.021            551.2407 
 53.3               7537.88             7122.401            4198.199            4475.355            4241.645            6801.799            415.4785 
 53.25              7282.28             6861.913            4188.75             4441.204            4225.111            6573.098            420.3672 
 53.2               6962.57             6611.444            4179.996            4409.655            4210.329            6351.452            351.126 
 53.15              6613.15             6372.611            4172.123            4380.778            4197.345            6138.734            240.5391 
 53.1               6281.38             6146.651            4165.216            4354.544            4186.119            5936.419            134.729 
 53.05              5928.58             5934.452            4159.228            4330.802            4176.496            5745.61            -5.871582 
 53                 5711.57             5736.696            4154.222            4309.507            4168.44             5567.192           -25.12646 
 52.95              5519.67             5553.387            4149.815            4290.178            4161.484            5401.354           -33.71729 
 52.9               5248.64             5384.606            4145.939            4272.652            4155.485            5248.347           -135.9663 
 52.85              5098.32             5230.5              4142.819            4257.063            4150.603            5108.472           -132.1802 
 52.8               4840.47             5090.495            4140.115            4242.985            4146.441            4981.299           -250.0249 
 52.75              4667.21             4964.464            4138.133            4230.644            4143.258            4866.829           -297.2544 
 52.7               4571.7              4851.614            4136.636            4219.724            4140.774            4764.388           -279.9136 
 52.65              4419.13             4751.058            4135.405            4209.935            4138.736            4673.198           -331.9282 
 52.6               4336.18             4662.208            4134.603            4201.369            4137.274            4592.769           -326.0273 
 52.55              4332.2              4584.076            4134.032            4193.769            4136.168            4522.203           -251.8755 
 52.5               4315.57             4515.598            4133.471            4186.85             4135.174            4460.517           -200.0283 
 52.45              4164.46             4455.963            4132.956            4180.592            4134.309            4406.975           -291.5029 
 52.4               4152.94             4404.712            4132.867            4175.324            4133.938            4361.184           -251.772 
 52.35              4062.82             4360.627            4132.81             4170.602            4133.655            4321.99            -297.8074 
 52.3               4094.29             4323.156            4133.008            4166.605            4133.673            4288.894           -228.8657 
 52.25              4196.22             4291.207            4133.118            4162.947            4133.639            4260.856           -94.98682 
 52.2               4023.42             4263.891            4132.939            4159.39             4133.347            4237.032           -240.4707 
 52.15              4034.05             4241.346            4133.249            4156.674            4133.566            4217.604           -207.2961 
 52.1               4133.53             4222.474            4133.53             4154.248            4133.776            4201.509           -88.94385 
